satellite,number,uplink,downlink,beacon,mode,callsign,status
DIY-1 (Arduiqube DO-111),47963,,437.125,437.125,100bdRTTY 500*bdFSK CW,CONDOL,active
Dodona,51084,,401.500,,19200bps GFSK,,unknown
DOSAAF-85 (RS-44),44909,145.935-145.995,435.670-435.610,435.605,SSB CW FT4,RS44,active
Dove-1/2,39143,,145.825,2420.000,1200bps AFSK,,re-entered
Dove-3,39429,,,,,,non-amateur
Dove-4,39434,,,,,,non-amateur
DO-17 (DOVE),20440,,145.825,2401.220,1200bps AFSK,DOVE-1,inactive
DO-64 (DELFI-C3),32789,,145.870,,1200bps BPSK,DLFIC3,active
DO-64 (DELFI-C3),32789,435.530-435.570,145.920-145.880,145.930,SSB CW,DLFIC3,inactive
DO-111 (DIY-1 Arduiqube),47963,,437.125,437.125,50/100*bdRTTY 500bdFSK CW,,active
DRAGONSat (AggieSat-2),35690,,436.250,,19200bps FSK,,re-entered
DRAGONSat (BEVO-1),35690,,437.325,,9600bps FSK,,re-entered
DragonSat-1,39383,,145.870,,9600bps FSK,,inactive
DragSail/COMPASS-2 (DE04),42771,,437.300/2403.000,,1200bps AFSK,,inactive
DSLWP-A1(A) (LO-93),43471,,435.425/2222.810,436.425,500/250bps GMSK JT4G,BJ1SM,inactive
DSLWP-A2(B) (LO-94),43472,,435.400/2275.220,436.400,500/250bps GMSK JT4G,BJ1SN,re-entered
DTUsat-1,27842,,,437.475,2400bps AFSK CW,OZ2DTU,inactive
DTUsat-2,40030,1268.900,2401.835,2401.860*,9k6CPFSK/1k2 19k2 38k4MSK CW*,OZ2DTU,inactive
Duchifat-1,40021,435.220,145.825/145.980,145.980,1200bps BPSK CW,4X4HSL,active
Duchifat-3,44854,145.970,436.400,,FM/APRS/9k6BPSK,4H4HSL-1,inactive
DUTHSat (GR01),42724,,436.420,,1200bps BPSK,SZ2DUT,re-entered
DX-1,40071,144.975-145.025,434.975-435.025,438.225,9600bps GFSK,DAURIA,inactive
D-SAT,42794,,437.505,437.505,4800bps GMSK CW,U1-DSAT-U1,inactive
D-Star ONE,,437.325,435.525/435.700,,D-Star Telemetry,,failure
D-Star ONE EXOCONNECT,44413,,435.700,,4k8*/9k6 mobitex GMSK,,inactive
D-Star ONE iSat,43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS,active
D-Star ONE LightSat,44393,,435.700*/436.500,,4k8*/9k6 mobitex GMSK,,inactive
D-Star ONE Phoenix,,437.325,435.525,,D-Star Telemetry,DP1GOS,inactive
D-Star ONE Sparrow,43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS,active
E1P (Explorer-1 Prime),,437.305,437.505,,1200bps AFSK,,failure
E1P-U2,37855,437.305,437.498,,1200bps AFSK_USBreceive,K7MSU-1,active
Eagle-1 (BeakerSat-1),39437,,437.465,,9600bps GFSK,,inactive
Eagle-2 ($50SAT MO-76),39436,,437.505,437.505,9600bps GFSK RTTY CW,,re-entered
EagleSat-1,43018,,437.645,,1200bps AFSK,,inactive
Eaglet-1,43790,,435.200/435.800,,1200bps,,non-amateur
EASAT-2 (SO-114),51081,145.875,436.666,436.666,1k2/2k4 AFSK APRS FM CW,AM5SAT,inactive
EcAMSat,43019,,437.095,,1200bps AFSK,KE6QLL,inactive
Ecuador-UTE,,,437.050,,1k2 AFSK SSTV CW,,unknown
EDGECUBE,45124,,437.465,,1200bps FSK,,unknown
EDSN 1-8,,,2401.200-2431.200,437.100,1200bps AFSK,,failure
EduSat-1 (BIRD-N),42824,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJR,re-entered
Egycubesat-1 (NARSScube-1),,,,437.970,CW,,active
EIRSAT-1,,,437.100,,9600bps GMSK,,to be launched
ELFIN-A,43617,,437.450,,9k6*/19k2 GFSK,WJ2XNX,re-entered
ELFIN-B,43616,,437.475,,9k6*/19k2 GFSK,WJ2XOX,re-entered
EnduroSat One,43551,,437.050,437.050,9600bps GMSK Music,LZ0AMS,inactive
EntrySat,44429,,436.950,,9600bps BPSK,ON02FR,inactive
EO-79 (QB50p1 FUNcube-3),40025,435.047-435.077,145.965-145.935,145.815,1200bps BPSK CW SSB,QB50P1,inactive
EO-80 (QB50p2),40032,435.080,145.880/145.840,145.880,1200bps BPSK CW FM,QB50P2,inactive
EO-88 (FUNcube-5 Nayif-1),42017,435.015-435.045,145.990-145.960,145.940,1200bps BPSK SSB,,active
EQUISat,43552,,435.550,435.550,4k8*/9k6 4LFSK CW LED,,re-entered
ESEO,43792,1263.500,145.930/145.895,437.000*,FM 1k2BPSK 4k8*/9k6GFSK,IW4DUL,inactive
EstCube-1,39161,,437.505/2401.250,437.254,9600bps GMSK CW,ES5E-11 ES5E/S,inactive
ESTELLE,,,U S-band 5.8GHz,,1Mbps-10Mbps GFSK BPSK,,unknown
Es'Hail-2 (Phase-4A QO-100),43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,,active
Es'Hail-2 (Phase-4A QO-100),43700,2401.500-2409.500,10491.000-10499.000,,Digital transponder,,unknown
ExAlta-1 (CA03),42734,,436.705,,4k8*/9k6/19k2 GMSK,ON03CA,re-entered
EXOCONNECT (D-Star One),44413,,435.700,,4k8*/9k6 mobitex GMSK,,inactive
ExoCube-1 (CP-10),40380,,437.270,437.270,9600bps FSK CW,KK6HGC XO3,inactive
ExoCube-2 (CP-12),47319,,437.150,437.150,9600bps FSK CW,,inactive
ExseedSat-1 (VO-96),,435.340,145.900,,FM CTCSS 67.0Hz,,unknown
E-ST@R,38079,,437.445,,1200bps AFSK,E-STAR-I,inactive
E-ST@R-II,41459,,437.485,437.485,1200bps AFSK CW,E-STAR-II,active
FacSat-1,43721,,437.350,,9600bps MSK,,active
FalconSAT-3,30776,145.840,435.103,,9600bps GMSK,PFS3-11 12,active
FASTRAC-1 (FO-69),37227,145.825,437.345,,1200bps AFSK,FAST1,inactive
FASTRAC-1 (FO-69),37227,145.980,437.345,,9600bps FSK,FAST1,inactive
FASTRAC-2 (FO-70),37380,435.025,145.825,,1200bps AFSK,FAST2,inactive
FASTRAC-2 (FO-70),37380,437.345,145.825,,9600bps FSK,FAST2,inactive
FCAL (NO-62),29667,,437.385,,1200bps AFSK,KD4HBO,re-entered
FEES,48082,,437.200,,9600bps FSK/LoRa,,inactive
FEES-2,51441,,145.000/437.200*,,9600bps FSK 125k LoRa*,,active
FIREBIRD-1,39463,,437.405,,19200bps FSK,K7MSU,inactive
FIREBIRD-2,39464,,437.230,,19200bps FSK,K7MSU,inactive
FIREBIRD-3,40377,,437.396*/437.405,,19200bps FSK,K7MSU,active
FIREBIRD-4,40378,,437.219*/437.230,,19200bps FSK,K7MSU,active
First-MOVE,39439,435.520,145.970,145.970,1200bps BPSK CW,MOVE1,inactive
FITSAT-1,38853,,437.445/5.84GHz,437.250,1200bps/115.2Kbps,JG6YEW,re-entered
FloripaSat-1,44885,436.100,436.100*,145.900,1k2*/2k4 2GFSK,PY0EFS,inactive
FMN-1 (FengMaNiu-1),43192,145.945,435.350,,9600*bps BPSK FM,BUAABJ,active
FORESAIL-1,52765,,437.125,437.125,1k2/4k8*/9k6 MSK CW,OH2FIS,inactive
FossaSat-1,44829,,436.700,,FSK RTTY 45 baud,,inactive
FossaSat-1b,,,436.700/436.800,436.800,125k Lora 9k6GMSK CW,,failure
FossaSat-1b2,,,436.700/436.800,436.800,125k Lora 9k6GMSK CW,,re-entered
FossaSat-2,,,436.700/436.900,436.900,125k Lora 9k6GMSK CW,,failure
FossaSat-2E1,50985,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E2,50984,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E3,50990,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E4,50987,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E5,51001,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E6,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E7,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E8,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E9,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E10,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E11,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E12,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
FossaSat-2E13,50991,,401.700,,9600bps GFSK 125k LoRa*,,active
Fox-1A (AO-85),40967,435.182,145.980,145.980,FM CTCSS 67.0Hz/200bps DUV,,inactive
Fox-1B (RadFxSat AO-91),43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,,active
Fox-1C (Cliff AO-95),43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV*,,active
Fox-1D (AO-92),43137,435.350/1267.350,145.880,145.880,FM CTCSS 67.0Hz/200bps DUV,,active
Fox-1E (RadFXsat-2 AO-109),47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW* FT4*,,active
FO-12 (JAS-1),16909,145.900-146.000,435.900-435.800,435.795,SSB CW,,inactive
FO-12 (JAS-1),16909,145.85/87/89/91,435.910,,1200bps JAS,8J1JAS,inactive
FO-20 (JAS-1b),20480,145.900-146.000,435.900-435.800,435.795,SSB CW,,inactive
FO-20 (JAS-1b),20480,145.85/87/89/91,435.910,,1200bps JAS,8J1JBS,inactive
FO-29 (JAS-2),24278,145.900-146.000,435.900-435.800,435.795,SSB* CW DigiTalker,,active
FO-29 (JAS-2),24278,145.85/87/89/91,435.910,,1200bps JAS,8J1JCS,inactive
FO-69 (FASTRAC-1),37227,145.825,437.345,,1200bps AFSK,FAST1,inactive
FO-69 (FASTRAC-1),37227,145.980,437.345,,9600bps FSK,FAST1,inactive
FO-70 (FASTRAC-2),37380,435.025,145.825,,1200bps AFSK,FAST2,inactive
FO-70 (FASTRAC-2),37380,437.345,145.825,,9600bps FSK,FAST2,inactive
FO-81 (ARTSAT2-DESPATCH),40321,,,437.325,CW,JQ1ZNN,deep space
FO-98 (OrigamiSat-1),43933,,437.505/5840.000,437.497,1200bps AFSK CW,JS1YAX,inactive
FO-99 (NEXUS),43937,145.900-145.930,435.910-435.880,435.900/437.075*,9k6/38k4FSK pi/4QPSK CW*,JS1YAV,active
FSI-SAT,,,437.175,437.175,1k2AFSK 9k6GMSK SSTV CW,,failure
FUNcube-1 (AO-73),39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,,active
FUNcube-2 (on UKube-1),40074,435.060-435.080,145.950-145.930,145.915,1200bps BPSK,,inactive
FUNcube-3 (QB50p1 EO-79),40025,435.047-435.077,145.965-145.935,145.815,1200bps BPSK CW SSB,QB50P1,inactive
FUNcube-4,43792,,145.895,,1200bps BPSK,,active
FUNcube-5 (Nayif-1 EO-88),42017,435.015-435.045,145.990-145.960,145.940,1200bps BPSK SSB,,active
FUNcube-6 (JY1Sat JO-97),43803,435.100-435.120,145.875-145.855,145.840,SSB 1k2*BPSK CW,JY1SAT,active
FUTABA,53463,,437.375,437.375,1200bps AFSK CW,JG6YBW,active
F-1,38855,,145.980,437.485,1200bps FM AFSK CW,XV1VN,re-entered
Galassia,41170,436.400,144.200/145.000,145.800,9600bps GMSK,,inactive
GASPACS,51439,,437.365,,9600bps 2GFSK,N7GAS,re-entered
GEARRSat-1,40456,,,,,,unknown
GeneSat-1,29655,,437.065/437.100,437.065,1200bps AFSK,KE7EGC,re-entered
GENESIS-G (ASTROLAND-1),,145.875,436.888,436.888,1k2/2k4 AFSK FM APRS CW,AM2SAT,re-entered
GENESIS-J (ASTROLAND-2),,145.925,436.666,436.666,1k2/2k4 AFSK FM APRS SSTV CW,AM3SAT,re-entered
GENESIS-L,,145.875,434.203/436.875,436.875,50bps_ASK CW,AM2SAT,failure
GENESIS-N,,145.888,434.216/436.888,436.888,50bps_ASK CW,AM3SAT,failure
Geoscan-Edelveis,53385,,436.200,,9600bps GFSK USP,RS20S,active
GhanaSat-1 (BIRD-G),42821,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJP,inactive
Goliat,38080,,437.485,437.485,1200bps AFSK CW,YO7MJF,inactive
GOMX-1,39430,,437.250,437.250,1k2/2k4/4k8*/9k6GMSK CW,,active
GOMX-2,,,437.250,,9600bps MSK,,failure
GOMX-3,40949,,437.250,,4k8/19k2* GMSK,,re-entered
GOMX-4A,43197,,400.800,,,,non-amateur
GOMX-4B,43198,,400.800,,,,non-amateur
GO-32 (TechSat-1B),25397,145.850/145.930,435.225/435.325*,,9600bps FSK,4XTECH-11 12,active
GRBALPHA,47959,145.905,437.025,437.025,9k6GFSK Digipeater CW,OM9GRB,active
GRAHAM (PhoneSat1),39146,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW-2,re-entered
GREENCUBE,53109,,435.310,,0k3/1k2*/2k4*/4k8/9k6 FSK,,active
GRIFEX,40379,,437.480,,9k6*/19k2bps GMSK,KD8SPS,inactive
Grizu-263A,51025,,435.675/437.190*,,2k4*/4k8 FSK,,active
GT-1,51510,,437.175,,9600bps FSK,KK4UVG,re-entered
GuaraniSat-1 (BIRDS-4),47931,145.825,145.825,437.375,1k2AFSK/4k8FSK APRS CW,JG6YMZ,re-entered
HADES (SO-115),51080,145.925,436.888,436.888,1k2/2k4 AFSK FM APRS CW,AM6SAT,inactive
Hamsat (VO-52),28650,435.220-435.280,145.930-145.870,145.936,SSB Carrier,Indian,inactive
Hamsat (VO-52),28650,435.225-435.275,145.925-145.875,145.860,SSB CW,Dutch,inactive
HARP,,450.000,468.000,,,,unknown
HAUSAT-1,,,437.465,,1200bps AFSK,D90HP,failure
HAVELSAT (TR02),42700,,436.845,436.845,9600bps GMSK CW,ON02TR,re-entered
HawaiiSat1 (HiakaSat1),,,145.9805,437.2705,9600bps GFSK,,failure
HawkSat-1,35004,,437.345,,1200bps AFSK,,inactive
HA-1 (Zhou Enlai Huai'An-1),43156,145.930,436.950,437.350/437.644*,FM 9600bps BPSK,BI4ST,active
Hermes,,,437.425,,1200bps AFSK,,failure
Hiapo,,,437.225,,9600bps FSK,,failure
HiNCube,39445,,437.305,,,,inactive
Hirogari (OPUSAT-II),47930,436.500,145.900,145.900,1k2AFSK/9k6/13k6GMSK CW,JL3ZKS,active
HITOMI (PRISM),33493,,437.425,437.250,1k2AFSK 9k6GMSK CW*,JQ1YCX,active
Hoopoe (IL01),42718,,437.740,,9600bps BPSK,ON01IL,re-entered
Ho'oponopono-2,39403,,427.220,,9600bps FSK GMSK,,inactive
Hodoyoshi-1,40299,,467.674,,1000bps Unknown,,non-amateur
HORYU-2,38340,,437.375,437.375,1200bps FSK CW,JG6YBW,inactive
HORYU-4,41340,,437.375/2400.300,437.375*,1k2 AFSK 9k6 GMSK S-BPSK CW*,JG6YBW,active
HO-59 (HITSAT),29484,145.980,437.425,437.275,1200bps AFSK,JR8YJT,re-entered
HO-68 (XW-1 CAS-1),36122,145.925-145.975,435.765-435.715,,SSB inverting,BJ1SA-11 12,inactive
HO-68 (XW-1 CAS-1),36122,145.825,435.675,,FM tone 67Hz,,inactive
HO-68 (XW-1 CAS-1),36122,,,435.790,CW,BJ1SA,active
HO-107 (HuskySat-1),45119,145.910-145.940,435.840-435.810,,SSB,,inactive
HO-107 (HuskySat-1),45119,,435.800/24049.000,,1200bps BPSK,,inactive
HO-113 (XW-3 CAS-9),50466,145.870,435.180,,VHF/UHF SSB*,,active
HO-113 (XW-3 CAS-9),50466,,,435.575,UHF CW*,,active
HO-113 (XW-3 CAS-9),50466,,435.725,,4k8*GMSK telemetry,CAS9,active
HSU-SAT1,53462,,437.280,437.280,1k2AFSK 9K6GMSK SSTV CW,JS1YHS,active
Humsat-D,39433,,437.325*/437.525,437.325,1200*bps MSK CW,HUMDE,active
HuskySat-1 (HO-107),45119,145.910-145.940,435.840-435.810,,SSB,,inactive
HuskySat-1 (HO-107),45119,,435.800*/24049.000,,1200bps BPSK,,inactive
ICEcube-1,,,437.305,,9600bps FSK,W2CXM,failure
ICEcube-2,,,437.425,,9600bps FSK,N2VR,failure
IceCube,42705,,43x.xxx,,,,unknown
ICUBE-1,39432,435.060,145.947,,1200bps BPSK/FM-DSB,,inactive
IDEASSat,47458,,437.345/2420.000,BN0IDA,9600bps GMSK,,inactive
IDEFIX (BO-47),27422,,145.840,,400bps BPSK,,inactive
IDEFIX (BO-48),27422,,435.270,,400bps BPSK,,inactive
IiNUSat,,145.950,436.915,,1k2 9k6 BFSK,,unknown
IITMSAT,,,437.505,,19k2 GMSK,,unknown
INCA,,,437.125,,0k2 MSK,,failure
InflateSail (GB06),42770,,436.060,,1200bps BPSK,ON06GB,re-entered
InnoSat-2,43738,,435.500*/437.450,,4800bps GMSK,,active
INSPIREsat-1,51657,,437.500,,9600bps GFSK,BCT,active
INS-1C,43116,,435.080,,1200bps FSK,INDUSR-10,inactive
INS-2TD,51658,,435.080,,1200bps FSK,INDUST-10,active
INVADER (CO-77),39577,,437.200,437.325,1k2AFSK DigiTalker CW,JQ1ZKK,re-entered
ION,,,437.505,,1200bps AFSK,,failure
ION-MK01,46274,,437.515,,1200bps FSK,,active
ION-SCV 002,47504,,,,1200bps FSK,,unknown
ION-SCV 003,48912,,437.515,,1200bps FSK,,inactive
ION-SCV 004,50993,,401.415,,1200bps FSK,,inactive
ION-SCV 005,52163,,401.415,,1200bps FSK,,active
ION-SCV 006,52761,,401.415,,1200bps FSK,,inactive
IO-26 (ITAMSAT),22826,145.875-145.950,435.822/435.867,435.791,1200bps JAS,ITMSAT-11 12,inactive
IO-86 (LAPAN-A2 ORARI),40931,145.880/145.825,435.880/145.825,437.425,FM tone 88.5Hz/APRS,YBSAT/YBOX-1,active
IPEX (CP-8),39471,,437.270,437.270,9600bps GMSK CW,KJ6KSL-1,inactive
Irazu,43468,,436.500,,9600bps FSK,TI0IRA,inactive
IRIS-A,51044,,435.575/436.915*,,9600*bps GMSK LoRa,BN0IOT,active
Irvine01,43693,,437.800,437.800,9600bps FSK CW,KK6CVB,inactive
Irvine02,43789,,437.450,,9600bps FSK,,inactive
iSat (D-Star ONE),43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS,active
ISOI (SXC3-219 Medex),53381,,437.650,,2400bps GMSK USP,RS19S,active
ISS,25544,145.825,145.825,,1200bps AFSK,RS0ISS ARISS,active
ISS,25544,145.990,437.800,,FM* tone 67.0Hz 9k6*FSK,NA1SS,active
ISS,25544,145.990,145.800,,SSTV,,unknown
ISS,25544,145.200,145.800,,Voice(Reg 1),NA1SS,inactive
ISS,25544,144.490,145.800,,Voice(Reg 2 3),NA1SS,inactive
ISS,25544,435.050,145.800,,FM tone 67.0Hz,,inactive
ISS,25544,437.550,437.550,,1200bps AFSK,RS0ISS,inactive
ISX (CP-11),43856,,437.150,437.150,9600bps FSK CW,,inactive
ITASAT-1,43786,,145.860/2400.150,,1k2 BPSK/14k4 BPSK,PY0EIA,inactive
ITF-1,39573,,,437.525,CW,JQ1ZLO,re-entered
ITF-2 (TO-89),41932,,437.525,437.525,1200bps FM CW,JQ1ZTK,re-entered
IT-SPINS,49017,,437.405,,19200bps GMSK,K7MSU,active
ITUpSat-1,35935,,437.325,437.325,19200bps GFSK CW*,ITUPSAT,active
i-INSPIRE II (AU03),42731,,436.330,,4800bps GMSK,ON03AU,re-entered
JAGSAT-1,53771,,437.325,,9600bps 2GFSK,,active
JAISAT-1,44419,145.935-145.965,435.965-435.935,435.700*,1k2PSK/4k8*GMSK SSB CW,,unknown
JAS-1 (FO-12),16909,145.900-146.000,435.900-435.800,435.795,SSB CW,,inactive
JAS-1 (FO-12),16909,145.85/87/89/91,435.910,,1200bps JAS,8J1JAS,inactive
JAS-1b (FO-20),20480,145.900-146.000,435.900-435.800,435.795,SSB CW,,inactive
JAS-1b (FO-20),20480,145.85/87/89/91,435.910,,1200bps JAS,8J1JBS,inactive
JAS-2 (FO-29),24278,145.900-146.000,435.900-435.800,435.795,SSB* CW (DigiTalker),,active
JAS-2 (FO-29),24278,145.85/87/89/91,435.910,,1200bps JAS,8J1JCS,inactive
JAWSAT (WO-39),26061,145.860,437.070/437.175,,9600bps FSK,,inactive
JO-97 (JY1Sat FUNcube-6),43803,435.100-435.120,145.875-145.855,145.840,SSB* 1k2BPSK CW,JY1SAT,active
Jugnu,37839,,437.505,437.276,CW,,inactive
Juvenile-1F(Shaonian-Xing),43199,,,436.370,9600bps BPSK,MXSAT-1,active
JY1Sat (FUNcube-6 JO-97),43803,435.100-435.120,145.875-145.855,145.840,SSB 1k2*BPSK CW,JY1SAT,active
K2SAT,43761,145.980,436.225/2404.000,435.835,FM 9600bps BSPK,,inactive
KAGAYAKI,33495,,437.375,437.375,9600bps FSK CW,,inactive
Kaidun-1,41915,,437.600,,1200bps BPSK,AXNWPU-4,active
KAITUO-1B (CAS-3G DCBB),40912,,145.475*/437.950,,9k6* GMSK,BJ1SH,active
KAI-1,53378,,435.665*/435.765,,1k2AFSK 2k4*FSK,RS26S,active
KALAMSAT-V2,43948,,436.500,,,,unknown
KAUSAT-5,43135,,437.465/2413.000,,9600bps FSK 115k2 MSK,,unknown
KAZSCISAT-1,43787,,435.500,,9600bps GMSK,,active
Khayyam,53370,,,,,,unknown
KickSat,39685,,2401.000-2436.200,437.505,1200bps AFSK,KD2BHC,re-entered
KickSat-2,44046,,437.505,,1200bps FSK,KD2BHC,re-entered
KITSUNE,52148,,437.375,400.960,4800*bps GMSK CW*,JG6YBW JG6YNH,active
KITSUNE,52148,,5840.000,,100k/5MbpsBPSK 10/20MbpsQPSK,,unknown
KKS-1 (KISEKI),33499,,437.445,437.385,1200bps AFSK CW*,JQ1YYY,active
KMSL,47958,,437.265,,9600bps BPSK,KMSLAB-1,inactive
KNACKSAT,,,435.635,435.635,1k2/9k6 GFSK CW,HS0K,unknown
KOSEN-1,49402,,21.125-21.150,435.525,1k2AFSK/9k6FSK CW*,JR5YGJ,active
KOSEN-2,,,436.750,436.750,1k2AFSK 9k6GMSK CW,,failure
KO-23 (KITSAT-A),22077,145.900/145.850,435.175,,9600bps FSK,HL01-11 12,inactive
KO-25 (KITSAT-B),22828,145.980/145.870,436.500,,9600bps FSK,HL02-11 12,inactive
KRAKsat,44427,,435.500,,1k2*AFSK/9k6GMSK,SR9KRA-6,re-entered
KSAT,36573,,S Ku-band,,10kbps 1Mbps,,non-amateur
KSAT2,39578,,S Ku-band,,200Kbps 1Mbps G1D,,non-amateur
KSU-Cubesat,47954,,437.130,,4800bps GMSK,KSUC1,active
KS-1Q,41847,,436.500,,20kbps GMSK,,inactive
KUTESat Pathfinder,,,437.385,,1200bps AFSK,KC0RMW,failure
KUZBASS-300 (SXC3-218 KuzSTU),53375,,437.700,,2400bps GMSK USP,RS34S,active
KySat-1,,145.850,436.790,,1200bps AFSK,,failure
KySat-2,39384,,437.405,,9600bps FSK,KK4AJJ,inactive
LAICE-1,,,437.505,,9600bps GMSK,,unknown
LambdaSat,40458,,437.462,,1200bps AFSK,,unknown
Lemur-2,,,402.450-402.600,,9600bps GMSK,,unknown
LAPAN-A2 (ORARI IO-86),40931,145.880/145.825,435.880/145.825,437.425,1k2*AFSK FM tone 88.5Hz,YBSAT/YBOX-1,active
LAPAN-A3 (IPB),41603,,437.425,,1200bps FFSK,,non-amateur
LARES,38077,,,,,,non-amateur
LEDSAT,49069,,435.190,,9600bps GMSK,,active
LEO (CP-9),44360,,437.505,,9k6*/19k2/38k4 FSK,KJ6RQH-1,inactive
LIBERTAD-1,31128,,437.405,437.399,1200bps AFSK,5K3L,inactive
Light-1,51509,,437.710,,1k2 BPSK 2k4*GMSK,,active
LightSail-A,40661,,437.435,,9600bps FSK,KK6HIT-1,re-entered
LightSail-2,44420,,437.025,,9600bps GMSK,KK6HIT-10,active
LightSat (D-Star One),44393,,435.700*/436.500,,4k8*/9k6 mobitex GMSK,,inactive
LilacSat-1 (CN02 LO-90),42725,145.985,436.510,,9600bps BPSK FM,ON02CN,re-entered
LilacSat-2 (CAS-3H),40908,144.350/144.390,144.390/437.225*,437.200,1k2/4k8*/9k6 AFSK/GFSK,BJ1SI,active
LINK (KR01),42714,,436.030,,1200bps BPSK,D80LW,inactive
LitSat-1,39568,435.135-435.165,145.965-145.935,,SSB,,re-entered
LitSat-1,39568,435.550,145.845,435.138,9600bps FSK CW,LY1LS,re-entered
LituanicaSAT-1 (LO-78),39569,145.950,435.176,,FM tone 67.0Hz,,re-entered
LituanicaSAT-1 (LO-78),39569,145.850,437.543,437.275,9600bps FSK CW,LY5N,re-entered
LituanicaSAT-2 (LT01),42768,,437.265,,9600bps FSK,LY0LS,active
LO-19 (LUSAT),20442,145.840-145.900,437.125/437.150,437.125,CW carrier,LUSAT-11 12,inactive
LO-74 (CubeBug-2),39440,,437.445,,1k2AFSK 9k6FSK,CUBEB2-6,active
LO-87 (NuSat-1),41557,435.935-435.965,145.965-145.935,145.900,SSB CW,,unknown
LO-87 (NuSat-1),41557,,436.445,,9k6/19k2/40k0* GFSK,,active
LO-90 (LilacSat-1 CN02),42725,145.985,436.510,,9600bps BPSK FM,ON02CN,active
LO-93 (DSLWP-A1),43471,,435.425/436.425/2222.810,,500/250bps GMSK,BJ1SM,inactive
LO-94 (DSLWP-A2),43472,,435.400/436.400/2275.220,,500/250bps GMSK,BJ1SN,re-entered
LQSat,40958,,437.650/2404.035,437.650,4k8 MSK 1Mbps QPSK CW,,inactive
Lucky-7,44406,,437.525,,4k8*/9k6 GFSK,,active
LUME-1,43908,,437.060,,4800bps GMSK,,active
Luojia 1-01,43485,,437.250,,4800bps GMSK,,inactive
M6P,44109,,437.265,LY0LS,9600bps FSK,,inactive
MAGNARO,,,145.850/436.325,436.325,1k2AFSK 9k6GMSK 19k2GMSK CW,,failure
MakerSat-0,43016,,,,,,inactive
MaSat-1 (MO-72),38081,,437.345,437.345,625/1250bps 2GFSK CW,HA5MASAT,re-entered
MAST,31126,,2400.000-2483.500,,FHSS,,inactive
Max Valier Sat,42778,,145.860,145.960*/437.325,CW,II3MV,active
MAYA-1 (BIRD-PH),43590,145.825,145.825,437.375,APRS digipeater CW,JG6YKM,re-entered
Maya-2 (BIRDS-4),47929,145.825,145.825,37.375,4k8FSK APRS CW,JG6YMY,re-entered
Maya-3,49273,145.825,437.375,437.375,4800bps GMSK CW*,MAYA3,re-entered
Maya-4,49274,145.825,437.375,437.375,4800bps GMSK CW*,MAYA4,re-entered
Mazaalai (BIRD-M),42822,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJQ,re-entered
MCubed-2,39469,,437.479,,9600bps GMSK,NOCALL,active
Mea Huaka'i Voyager,,,437.405/5.840GHz,,1200bps AFSK,,failure
MemSat,,,437.350,,9600bps BPSK,,inactive
MEROPE,,,145.980,,1200bps AFSK,K7MSU-1,failure
METEOR-M1,35865,,137.100/137.900,2201.000,72kbps QPSK CW*,,weather sat
METEOR-M2,40069,,137.100*/137.900,,72kbps LRPT,,weather sat
METEOR-M2-2,44387,,137.100/137.900,1700.000*,72kbps QPSK AHRPT*,,weather sat
MeznSat,46489,,436.600,,1k2/2k4/4k8* BPSK,A68MZ,active
MicroDragon,43935,,2280.000,,,,non-amateur
MicroMAS-1,40457,,468.000,,1.5Mbit/s OQPSK,,unknown
MIET-AIS (SXC3-214),53377,,437.900,,2400bps GMSK USP,RS28S,active
MIMAN,52900,,436.500,,2400bps FSK,,active
MinXSS-1,41474,,437.350,,9600bps GMSK,MINXSS,re-entered
MinXSS-2,43758,,437.250,,9600bps GMSK,MINXS2,inactive
MIR,16609,145.985,145.985,,Packet,R0MIR-1,re-entered
